Besoldungsgruppe,Amtsbezeichnung,Zusatz
A16,Leitende Direktorin/Leitender Direktor,Medizinal-... in der Bundespolizei
A16,Leitende Direktorin/Leitender Direktor,Polizei-
A16,Leitende Direktorin/Leitender Direktor,Post-
A16,Leitende Direktorin/Leitender Direktor,Regierungs-
A16,Leitende Direktorin/Leitender Direktor,Technische Bundesfernstraßen-/Technischer Bundesfernstraßen-
A16,Leitende Direktorin/Leitender Direktor,Technische Regierungs-/Technischer Regierungs-
A16,Leitende Direktorin/Leitender Direktor,Wissenschaftliche/Wissenschaftlicher
A16,Ministerialrätin/Ministerialrat,
B1,Direktorin und Professorin/Direktor und Professor,beim ORG
B1,Direktorin und Professorin/Direktor und Professor,bei ORG
B2,Direktorin/Direktor,als Beauftragte für das Ehrenamt bei der Bundesanstalt Technisches Hilfswerk/als Beauftragter für das Ehrenamt bei der Bundesanstalt Technisches Hilfswerk
B2,Direktorin/Direktor,als Landesbeauftragte bei der Bundesanstalt Technisches Hilfswerk/als Landesbeauftragter bei der Bundesanstalt Technisches Hilfswerk
B2,Direktorin/Direktor,bei der ORG
B2,Direktorin/Direktor,bei der Bundesagentur für Arbeit
B2,Direktorin/Direktor,bei der Bundesanstalt für Finanzdienstleistungsaufsicht
B2,Direktorin/Direktor,bei der Bundesanstalt für Immobilienaufgaben
B2,Direktorin/Direktor,"bei der Bundesnetzagentur für Elektrizität, Gas, Telekommunikation, Post und Eisenbahnen"
B2,Direktorin/Direktor,bei der Führungsakademie der Bundeswehr
B2,Direktorin/Direktor,bei der Hochschule des Bundes für öffentliche Verwaltung 
B2,Direktorin/Direktor,bei der Staatsbibliothek der Stiftung Preußischer Kulturbesitz
B2,Direktorin/Direktor,bei der Stiftung Bundespräsident-Theodor-Heuss-Haus
B2,Direktorin/Direktor,bei der Unfallversicherung Bund und Bahn
B2,Direktorin/Direktor,bei der Zollverwaltung
B2,Direktorin/Direktor,"beim Bundesamt für Ausrüstung, Informationstechnik und Nutzung der Bundeswehr"
B2,Direktorin/Direktor,beim Bundesamt für Bauwesen und Raumordnung
